State,Date,Total,"Undecided",Klobuchar,Sanders,Warren,Biden,Bloomberg,Buttigieg,Steyer,Gabbard
Iowa,2020-02-03,41,0,1,12,8,6,0,14,0,0
New Hampshire,2020-02-11,24,0,6,9,0,0,0,9,0,0
Nevada,2020-02-22,36,0,0,24,0,9,0,3,0,0
South Carolina,2020-02-29,54,0,0,15,0,39,0,0,0,0
Alabama,2020-03-03,52,3,0,7,0,41,1,0,0,0
America Samoa,2020-03-03,6,0,0,0,0,0,4,0,0,2
Arkansas,2020-03-03,31,0,0,9,0,17,5,0,0,0
California,2020-03-03,415,112,0,167,5,116,15,0,0,0
Colorado,2020-03-03,67,28,0,20,1,9,9,0,0,0
Maine,2020-03-03,24,0,0,9,4,11,0,0,0,0
Massachusetts,2020-03-03,91,0,0,29,25,37,0,0,0,0
Minnesota,2020-03-03,75,0,0,27,10,38,0,0,0,0
North Carolina,2020-03-03,110,4,0,36,2,66,2,0,0,0
Oklahoma,2020-03-03,37,0,0,13,1,21,2,0,0,0
Tennessee,2020-03-03,64,2,0,18,1,33,10,0,0,0
Texas,2020-03-03,228,0,0,102,5,111,10,0,0,0
Utah,2020-03-03,29,13,0,12,0,2,2,0,0,0
Vermont,2020-03-03,16,0,0,11,0,5,0,0,0,0
Virginia,2020-03-03,99,0,0,31,2,66,0,0,0,0
Democrats Abroad,2020-03-03,13,13,0,0,0,0,0,0,0,0
Idaho,2020-03-10,20,20,0,0,0,0,0,0,0,0
Michigan,2020-03-10,125,125,0,0,0,0,0,0,0,0
Mississippi,2020-03-10,36,36,0,0,0,0,0,0,0,0
Missouri,2020-03-10,68,68,0,0,0,0,0,0,0,0
North Dakota,2020-03-10,14,14,0,0,0,0,0,0,0,0
Washington,2020-03-10,89,89,0,0,0,0,0,0,0,0
Northern Mariana Islands,2020-03-14,6,6,0,0,0,0,0,0,0,0
Arizona,2020-03-17,67,67,0,0,0,0,0,0,0,0
Florida,2020-03-17,219,219,0,0,0,0,0,0,0,0
Illinois,2020-03-17,155,155,0,0,0,0,0,0,0,0
Ohio,2020-03-17,136,136,0,0,0,0,0,0,0,0
Georgia,2020-03-24,105,105,0,0,0,0,0,0,0,0
Puerto Rico,2020-03-29,51,51,0,0,0,0,0,0,0,0
Alaska,2020-04-04,15,15,0,0,0,0,0,0,0,0
Hawaii,2020-04-04,24,24,0,0,0,0,0,0,0,0
Louisiana,2020-04-04,54,54,0,0,0,0,0,0,0,0
Wyoming,2020-04-04,14,14,0,0,0,0,0,0,0,0
Wisconsin,2020-04-07,84,84,0,0,0,0,0,0,0,0
Connecticut,2020-04-28,60,60,0,0,0,0,0,0,0,0
Delaware,2020-04-28,21,21,0,0,0,0,0,0,0,0
Maryland,2020-04-28,96,96,0,0,0,0,0,0,0,0
New York,2020-04-28,274,274,0,0,0,0,0,0,0,0
Pennsylvania,2020-04-28,186,186,0,0,0,0,0,0,0,0
Rhode Island,2020-04-28,26,26,0,0,0,0,0,0,0,0
Guam,2020-05-02,7,7,0,0,0,0,0,0,0,0
Kansas,2020-05-02,39,39,0,0,0,0,0,0,0,0
Indiana,2020-05-05,82,82,0,0,0,0,0,0,0,0
Nebraska,2020-05-12,29,29,0,0,0,0,0,0,0,0
West Virginia,2020-05-12,28,28,0,0,0,0,0,0,0,0
Kentucky,2020-05-19,54,54,0,0,0,0,0,0,0,0
Oregon,2020-05-19,61,61,0,0,0,0,0,0,0,0
District of Columbia,2020-06-02,20,20,0,0,0,0,0,0,0,0
Montana,2020-06-02,19,19,0,0,0,0,0,0,0,0
New Jersey,2020-06-02,126,126,0,0,0,0,0,0,0,0
New Mexico,2020-06-02,34,34,0,0,0,0,0,0,0,0
South Dakota,2020-06-02,16,16,0,0,0,0,0,0,0,0
Virgin Islands,2020-06-06,7,7,0,0,0,0,0,0,0,0
